Monat,Ergebnis,Anzahl
2018-01,2,6
2018-02,2,2
2018-03,2,26
2018-04,2,3
2018-05,2,2
2018-06,2,2
2018-07,2,2
2018-09,2,2
2018-11,2,3
2019-01,2,2
2019-02,2,6
2019-03,2,9
2019-04,2,1
2019-05,2,1
2019-06,2,4
2019-07,2,2
2019-08,2,1
2019-10,2,3
2019-12,2,1
2020-01,2,6
2020-02,2,3
2020-03,2,5
2020-04,2,5
2020-05,2,4
2020-07,2,1
2020-08,2,2
2020-10,2,7
2020-11,2,5
2020-12,2,17
2021-01,2,34
2021-02,2,33
2021-02,1,2
2021-03,2,26
2021-04,2,5
2021-05,2,6
2021-06,2,3
2021-07,2,1
2021-08,2,2
2021-09,2,2
2021-10,2,4
2021-11,2,7
2021-12,2,30
2022-01,2,23
2022-02,2,16
2022-02,1,1
2022-03,2,21
2022-03,1,2
2022-04,2,4
2022-05,2,2
2022-06,2,1
2022-09,2,2
2022-10,2,3
2022-11,2,8
2022-11,1,3
2022-12,2,27
2022-12,1,1
2023-01,2,27
2023-01,1,10
2023-02,2,60
2023-02,1,54
2023-03,2,81
2023-03,1,105
2023-04,2,31
2023-05,2,21
2023-05,1,23
2023-06,2,12
2023-06,1,3
2023-07,2,22
2023-07,1,1
2023-08,2,14
2023-09,2,7
2023-10,2,5
2023-11,2,8
2023-12,2,13
2023-12,1,1
2024-01,2,16
2024-02,2,9
2024-03,2,10
2024-04,2,5
2024-05,2,6
2024-06,2,6
2024-07,2,5
2024-08,2,11
2024-09,2,6
2024-10,2,2
2024-11,2,8
2024-11,1,1
2024-12,2,4
2024-12,1,1
